Location,Region,Subregion,Rate,Count,Year
Afghanistan,Asia,Southern Asia,6,2474,2018
Albania,Europe,Southern Europe,2,61,2020
Algeria,Africa,Northern Africa,1,580,2020
Andorra,Europe,Southern Europe,2,2,2020
Angola,Africa,Middle Africa,4,1217,2012
Anguilla,N/S Americas,Caribbean,28,4,2014
Antigua and Barbuda,N/S Americas,Caribbean,9,9,2020
Argentina,N/S Americas,South America,5,2416,2020
Armenia,Asia,Western Asia,1,52,2020
Aruba,N/S Americas,Caribbean,1,2,2014
Australia,Oceania,"Australia, New Zealand",0,221,2020
Austria,Europe,Western Europe,0,65,2020
Azerbaijan,Asia,Western Asia,2,230,2020
Bahamas,N/S Americas,Caribbean,18,73,2020
Bahrain,Asia,Western Asia,0,2,2019
Bangladesh,Asia,Southern Asia,2,3830,2018
Barbados,N/S Americas,Caribbean,14,41,2020
Belarus,Europe,Eastern Europe,2,225,2019
Belgium,Europe,Western Europe,1,193,2017
Belize,N/S Americas,Central America,25,102,2020
Benin,Africa,Western Africa,1,126,2017
Bermuda,N/S Americas,Northern America,0,0,2019
Bhutan,Asia,Southern Asia,2,19,2020
Bolivia,N/S Americas,South America,7,806,2019
Bosnia and Herzegovina,Europe,Southern Europe,1,43,2020
Botswana,Africa,Southern Africa,15,303,2010
Brazil,N/S Americas,South America,22,47722,2020
British Virgin Islands,N/S Americas,Caribbean,8,2,2006
Brunei,Asia,South-Eastern Asia,0,2,2013
Bulgaria,Europe,Eastern Europe,1,69,2020
Burkina Faso,Africa,Western Africa,1,240,2017
Burundi,Africa,Eastern Africa,6,635,2016
Cape Verde,Africa,Western Africa,6,36,2020
Cambodia,Asia,South-Eastern Asia,1,268,2011
Cameroon,Africa,Middle Africa,1,341,2017
Canada,N/S Americas,Northern America,2,743,2020
Cayman Islands,N/S Americas,Caribbean,8,5,2014
Central African Republic,Africa,Middle Africa,20,913,2016
Channel Islands,Europe,Northern Europe,0,0,2010
Chile,N/S Americas,South America,4,926,2020
China,Asia,Eastern Asia,0,7525,2018
Colombia,N/S Americas,South America,22,11520,2020
Costa Rica,N/S Americas,Central America,11,570,2020
Croatia,Europe,Southern Europe,1,39,2020
Cuba,N/S Americas,Caribbean,5,572,2016
Curaçao,N/S Americas,Caribbean,19,26,2007
Cyprus,Asia,Western Asia,1,15,2020
Czech Republic,Europe,Eastern Europe,0,77,2020
Denmark,Europe,Northern Europe,1,55,2020
Dominica,N/S Americas,Caribbean,20,15,2020
Dominican Republic,N/S Americas,Caribbean,8,961,2020
Ecuador,N/S Americas,South America,7,1372,2020
Egypt,Africa,Northern Africa,2,2207,2012
El Salvador,N/S Americas,Central America,37,2398,2019
England and Wales,Europe,Northern Europe,1,726,2017
Estonia,Europe,Northern Europe,3,42,2020
Eswatini,Africa,Southern Africa,11,130,2017
Ethiopia,Africa,Eastern Africa,8,8153,2012
Finland,Europe,Northern Europe,1,91,2020
France,Europe,Western Europe,1,879,2020
French Guiana,N/S Americas,South America,13,30,2009
Georgia,Asia,Western Asia,1,77,2019
